State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Housholds_with_Electric_Lighting,sex_ratio,literacy_rate
Gujarat,Bharuch,21.75787276237761,72.67326346710801,488,1551019,10257,309091,92,72
Gujarat,Bhavnagar,21.70219390341736,72.16272632761141,481,2880365,7297,500757,93,65
Gujarat,Gandhinagar,23.193679790026252,72.67221679790026,473,1391753,12107,262539,92,74
Gujarat,Jamnagar,22.410600414263328,69.62062005768233,477,2160119,11573,386538,93,64
Gujarat,Junagadh,20.929523011609785,70.54733890140345,479,2743082,6628,498326,95,67
Gujarat,Kachchh,23.48057203301311,68.82192301497916,468,2092371,9631,403294,90,59
Gujarat,Kheda,22.88765312500002,73.018803515625,483,2299885,5710,372226,93,72
Gujarat,Mahesana,23.529355452865065,72.45545194085031,471,2035064,7759,385609,92,73
Gujarat,Narmada,21.70666386292833,73.68403208722742,487,590297,576,101940,96,62
Gujarat,Navsari,20.866973318871995,72.86184869848157,490,1329672,6726,267679,96,75
Gujarat,Panch Mahals,22.80435606837605,73.61984598290586,484,2390776,3456,398937,94,60
Gujarat,Patan,23.80634198473284,71.75162977099237,470,1343734,2231,223424,93,62
Gujarat,Porbandar,21.55092351651571,69.71896987722886,478,585449,1653,117040,95,67
Gujarat,Rajkot,22.40603377715488,70.83679439383323,476,3804558,21785,747352,92,71
Gujarat,Sabar Kantha,23.71803594548552,73.13638790459964,472,2428589,5262,438606,95,65
Gujarat,Surat,21.25761372772093,72.93488716344339,492,6081322,55694,1252452,78,75
Gujarat,Surendranagar,22.82672007299272,71.48358740875906,475,1756268,2975,302068,93,62
Gujarat,The Dangs,20.801633877551023,73.6883518367347,489,228291,137,29794,100,61
Gujarat,Vadodara,22.26133739279589,73.49433010291594,486,4165626,53606,798277,93,69
Gujarat,Valsad,20.44238231644259,72.9148584798345,491,1705678,11020,329218,92,68
Haryana,Ambala,30.3503672316384,76.94970310734456,70,1128350,12899,199681,88,72
Haryana,Bhiwani,28.728868064516128,76.02110225806452,81,1634445,5292,266244,88,65
Haryana,Faridabad,28.14873109756098,77.32718536585368,88,1809733,43437,333171,87,70
Haryana,Fatehabad,29.57298318584072,75.54608716814157,78,942011,3210,153301,90,59
Haryana,Gurgaon,28.043894789579163,77.01935130260523,86,1514432,67087,305751,85,73
Haryana,Hisar,29.23628731117825,75.84324682779452,80,1743931,10132,285004,87,63
Haryana,Jhajjar,28.59651868131869,76.61137142857145,83,958405,5034,168558,86,70
Haryana,Jind,29.45149821958457,76.29598575667653,77,1334152,5263,222462,87,62
Haryana,Kaithal,29.96068539094649,76.37698930041155,73,1074304,3724,187349,88,60
Haryana,Karnal,29.703200647249204,76.87488025889972,74,1505324,11163,267223,88,64
Haryana,Kurukshetra,30.05652659846548,76.78774680306903,72,964655,7356,171908,88,67
Haryana,Mahendragarh,28.1352161458333,76.14018072916659,84,922088,2624,135455,89,68
Haryana,Panchkula,30.700897142857134,76.97173238095236,69,561293,18615,103455,87,72
Haryana,Panipat,29.34352134146342,76.92895914634147,75,1205437,10024,209965,86,65
Haryana,Rewari,28.19164714828897,76.55956007604564,85,900332,5121,152651,89,70
Haryana,Rohtak,28.892517647058817,76.53123235294117,82,1061204,8482,193120,86,70
Haryana,Sirsa,29.63583446327684,74.90970480225988,79,1295189,6287,215527,89,60
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,30,381956,1574,79146,98,75
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,406,2663629,8566,519704,97,59
Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,23,519080,1615,96082,98,62
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,28,454768,2521,104120,109,78
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,168,1104285,1196,55929,86,59
Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,24,1510075,8053,330081,101,76
Himachal Pradesh,Kinnaur,31.60667184065933,78.51613736263741,34,84121,354,17865,81,72
Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647,26,437903,2623,91322,94,70
Himachal Pradesh,Mandi,31.635805940594054,76.96556930693067,27,999777,5333,214491,100,72
Himachal Pradesh,Shimla,31.155725451807253,77.62573042168668,33,814010,9177,172754,91,75
Himachal Pradesh,Sirmaur,30.682764453961443,77.43184689507493,32,529855,2220,91509,91,68
Himachal Pradesh,Solan,31.03864311926604,76.94442140672783,31,580320,5250,119866,87,73
Himachal Pradesh,Una,31.58330388349513,76.18353932038836,29,521173,2412,105929,97,76
Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,16,409936,596,61831,91,53
Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,21,1529958,19905,294739,87,74
Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,4,140802,235,15824,81,61
Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404,7,616435,1443,109422,89,63
Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118,12,560440,1537,73629,91,52
Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322,5,476835,346,62900,89,54
Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420288,10,1236829,16413,165403,89,60
Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511,19,554985,1214,73999,86,58
Jharkhand,Bokaro,23.6814965034965,85.98398374125864,355,2062330,9754,274726,92,61
Jharkhand,Chatra,24.11619945750453,84.93295804701627,347,1042886,590,27037,95,48
Jharkhand,Deoghar,24.33070100755672,86.75697632241814,350,1492073,1944,130193,92,53
Jharkhand,Dhanbad,23.854509090909097,86.40372924901185,354,2684487,11568,427173,90,64
Jharkhand,Dumka,24.275006125574265,87.27662450229711,362,1321442,1193,62110,97,50
Jharkhand,Garhwa,24.082114689265527,83.68664265536722,346,1322784,565,29373,93,49
Jharkhand,Giridih,24.30578509874329,86.08710915619386,349,2445474,1944,125431,94,51
Jharkhand,Godda,24.8189,87.2941735483871,351,1313551,874,43230,93,46
Jharkhand,Gumla,23.078532948929148,84.55056787479396,366,1025213,831,31687,99,54
Jharkhand,Jamtara,23.97873318077801,86.95325080091534,363,791042,808,49419,95,53
Jharkhand,Latehar,23.72511185840708,84.48298743362837,359,726978,340,38194,96,48
Jharkhand,Lohardaga,23.488796043165483,84.6605169064748,356,461790,351,28769,98,56
Jharkhand,Pakur,24.57260428082189,87.69691969178076,353,900422,328,31414,98,39
Jharkhand,Palamu,24.196925968109337,84.20310842824594,358,1939869,2155,68238,92,52
Jharkhand,Ranchi,23.184235061391547,85.31781937244203,364,2914253,22538,350908,94,65
Jharkhand,Sahibganj,24.93667989690721,87.68264097938142,352,1150567,591,34879,95,42
Jharkhand,Simdega,22.608760391198054,84.59193691931536,367,599578,423,16865,99,57
Karnataka,Bagalkot,16.15860676328503,75.64526070853468,556,1889752,3745,301389,98,58
Karnataka,Bangalore Rural,12.936827087794448,77.47369314775169,583,990923,3729,214253,94,69
Karnataka,Belgaum,16.16107219152853,74.72329042357275,555,4779661,17560,808827,97,63
Karnataka,Bellary,15.074377548209377,76.47228471074374,565,2452595,9626,440374,98,57
Karnataka,Bidar,17.950361730769224,77.19459961538459,558,1703300,3971,271439,95,61
Karnataka,Bijapur,16.84015316666667,75.95909166666665,417,255230,117,12516,98,34
Karnataka,Bijapur,16.84015316666667,75.95909166666665,557,2177331,4987,326594,95,57
Karnataka,Chikmagalur,13.425288289676422,75.67626502311249,570,1137961,4510,238505,100,71
